Onprem,Full,Lite
DOCU-01,DOCU-01,DOCU-01
DOCU-02,DOCU-04,DOCU-04
DOCU-03,DOCU-05,DOCU-05
DOCU-04,DOCU-07,DOCU-07
DOCU-05,QUAL-03,DOCU-09
DOCU-06,DRPL-01,DOCU-10
COMP-01,COMP-01,COMP-01
COMP-02,DATA-21,ITAC-01
COMP-03,-,HLNT-05
COMP-04,PPPR-07,-
COMP-05,COMP-03,COMP-03
COMP-06,COMP-04,COMP-04
COMP-07,COMP-05,COMP-07
OPAP-01,-,-
OPAP-02,-,-
OPAP-03,PPPR-14,HLAP-03
OPAP-04,DOCU-06,DOCU-06
OPAP-05,APPL-03,HLAP-04
OPAP-06,CONS-08,-
OPAP-07,-,-
OPAP-08,DATA-22,-
OPAP-09,VULN-05,-
OPAP-10,-,-
OPAA-01,AAAI-03,-
OPAA-02,AAAI-01,HLAA-01
OPAA-03,AAAI-08,HLAA-03
OPAA-04,APPL-01,HLAP-01
OPAA-05,AAAI-17,HLAA-07
OPAA-06,-,-
OPAA-07,AAAI-12,HLAA-08
OPCH-01,DOCU-09,DOCU-11
OPCH-02,CHNG-03,HLSY-02
OPCH-03,CHNG-11,HLSY-05
OPCH-04,CHNG-13,-
OPDB-01,-,-
OPDB-02,-,-
OPDC-01,-,-
OPDC-02,-,-
OPDC-03,DCTR-09,-
OPDC-04,VULN-06,-
OPDC-05,DATA-03,HLDA-02
OPDC-06,DATA-04,HLDA-03
OPDC-07,DATA-05,-
OPDC-08,-,-
OPDC-09,-,-
OPPP-01,PPPR-01,HLPP-01
OPPP-02,PPPR-04,HLPP-02
OPPP-03,IH-01,HLIH-01
OPPP-04,PPPR-12,HLPP-03
OFID-01,FIDP-06,-
OFID-02,FIDP-01,HLNT-02
OFID-03,FIDP-07,-
OFID-04,FIDP-08,HLNT-04
OFID-05,DATA-23,-
OFID-06,-,-