Lite,Full,Full_Score,Onprem,Onprem_Score
COMP-01,COMP-01,100,COMP-01,94
COMP-02,COMP-02,100,COMP-04,72
COMP-03,COMP-03,100,COMP-05,99
COMP-04,COMP-04,100,COMP-06,97
COMP-05,QUAL-01,56,-,-
COMP-06,QUAL-05,40,-,-
COMP-07,COMP-05,100,COMP-07,68
DOCU-01,DOCU-01,99,DOCU-01,87
DOCU-02,DOCU-02,98,-,-
DOCU-03,DOCU-03,100,DOCU-03,51
DOCU-04,DOCU-04,100,DOCU-02,73
DOCU-05,DOCU-05,80,-,-
DOCU-06,-,-,OPAP-04,89
DOCU-07,DOCU-07,100,DOCU-06,77
DOCU-08,DOCU-08,100,-,-
DOCU-09,BCPL-04,84,-,-
DOCU-10,DRPL-10,80,-,-
DOCU-11,DOCU-09,100,OPCH-01,92
DOCU-12,DOCU-10,100,-,-
DOCU-13,DOCU-11,86,-,-
ITAC-01,ITAC-01,69,-,-
ITAC-02,ITAC-02,99,-,-
ITAC-03,ITAC-03,96,-,-
ITAC-04,ITAC-04,99,-,-
ITAC-05,ITAC-05,99,-,-
ITAC-06,ITAC-06,99,-,-
ITAC-07,ITAC-07,97,-,-
ITAC-08,ITAC-08,98,-,-
ITAC-09,ITAC-09,99,-,-
HLAP-01,APPL-01,100,OPAP-01,78
HLAP-02,APPL-02,100,-,-
HLAP-03,-,-,OPAP-03,75
HLAP-04,APPL-03,100,OPAP-05,98
HLAP-05,APPL-04,100,-,-
HLAP-06,APPL-05,98,-,-
HLAA-01,AAAI-01,98,OPAA-02,49
HLAA-02,AAAI-07,100,-,-
HLAA-03,AAAI-08,100,OPAA-03,91
HLAA-04,AAAI-09,100,-,-
HLAA-05,AAAI-10,100,-,-
HLAA-06,AAAI-11,100,-,-
HLAA-07,AAAI-17,98,OPAA-05,91
HLAA-08,AAAI-12,100,OPAA-07,98
HLAA-09,AAAI-13,100,-,-
HLSY-01,CHNG-16,100,-,-
HLSY-02,CHNG-03,100,OPCH-02,100
HLSY-03,VULN-03,97,-,-
HLSY-04,VULN-02,100,-,-
HLSY-05,CHNG-11,100,OPCH-03,96
HLDA-01,DATA-01,96,-,-
HLDA-02,DATA-03,96,OPDC-05,83
HLDA-03,DATA-04,100,OPDC-06,91
HLDA-04,DATA-12,69,-,-
HLDA-05,DATA-08,100,-,-
HLDA-06,DATA-19,100,-,-
HLDA-07,DATA-23,98,-,-
HLDC-01,-,-,-,-
HLDC-02,DCTR-02,88,-,-
HLDC-03,DCTR-01,97,-,-
HLDC-04,DCTR-05,52,-,-
HLDC-05,-,-,-,-
HLNT-01,-,-,-,-
HLNT-02,FIDP-01,85,OFID-02,64
HLNT-03,FIDP-04,59,-,-
HLNT-04,FIDP-08,84,OFID-04,80
HLNT-05,-,-,-,-
HLIH-01,IH-01,100,OPPP-03,99
HLIH-02,IH-02,89,-,-
HLIH-03,-,-,-,-
HLIH-04,IH-03,92,-,-
HLIH-05,IH-04,86,-,-
HLPP-01,PPPR-01,100,OPPP-01,100
HLPP-02,PPPR-04,100,OPPP-02,100
HLPP-03,-,-,OPPP-04,91
HLTP-01,QUAL-02,50,-,-
HLTP-02,THRD-01,95,-,-
HLTP-03,-,-,-,-
HLTP-04,THRD-05,100,-,-