Onprem,Full,Full_Score,Lite,Lite_Score
DOCU-01,DOCU-01,88,DOCU-01,87
DOCU-02,DOCU-04,73,DOCU-04,73
DOCU-03,DOCU-03,51,DOCU-03,51
DOCU-04,-,-,-,-
DOCU-05,-,-,-,-
DOCU-06,DOCU-07,77,DOCU-07,77
COMP-01,COMP-01,94,COMP-01,94
COMP-02,-,-,-,-
COMP-03,-,-,-,-
COMP-04,COMP-02,72,COMP-02,72
COMP-05,COMP-03,99,COMP-03,99
COMP-06,COMP-04,97,COMP-04,97
COMP-07,COMP-05,68,COMP-07,68
OPAP-01,APPL-01,78,HLAP-01,78
OPAP-02,APPL-09,61,-,-
OPAP-03,-,-,HLAP-03,75
OPAP-04,-,-,DOCU-06,89
OPAP-05,APPL-03,98,HLAP-04,98
OPAP-06,-,-,-,-
OPAP-07,-,-,-,-
OPAP-08,DATA-22,99,-,-
OPAP-09,VULN-05,86,-,-
OPAP-10,-,-,-,-
OPAA-01,AAAI-03,99,-,-
OPAA-02,-,-,-,-
OPAA-03,AAAI-08,91,HLAA-03,91
OPAA-04,-,-,-,-
OPAA-05,AAAI-17,94,HLAA-07,91
OPAA-06,AAAI-18,68,-,-
OPAA-07,AAAI-12,98,HLAA-08,98
OPCH-01,DOCU-09,92,DOCU-11,92
OPCH-02,CHNG-03,100,HLSY-02,100
OPCH-03,CHNG-11,96,HLSY-05,96
OPCH-04,CHNG-13,100,-,-
OPDB-01,-,-,-,-
OPDB-02,-,-,-,-
OPDC-01,-,-,-,-
OPDC-02,-,-,-,-
OPDC-03,DCTR-09,46,-,-
OPDC-04,-,-,-,-
OPDC-05,DATA-03,86,HLDA-02,83
OPDC-06,DATA-04,91,HLDA-03,91
OPDC-07,DATA-05,99,-,-
OPDC-08,-,-,-,-
OPDC-09,-,-,-,-
OPPP-01,PPPR-01,100,HLPP-01,100
OPPP-02,PPPR-04,100,HLPP-02,100
OPPP-03,IH-01,99,HLIH-01,99
OPPP-04,-,-,HLPP-03,91
OFID-01,FIDP-06,82,-,-
OFID-02,FIDP-01,58,HLNT-02,64
OFID-03,FIDP-07,85,-,-
OFID-04,FIDP-08,57,HLNT-04,80
OFID-05,-,-,-,-
OFID-06,-,-,-,-